JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,60,50000000,13318740,1,1,
1,12,30000000,30000000,#N/A,1,
1,11,44000000,44000000,1,1,
1,60,30000000,25500000,1,1,
1,10,6500000,6500000,#N/A,1,
1,11,16000000,16000000,1,1,
0,11,11000000,11000000,2,1,
0,12,11000000,11000000,#N/A,1,
0,12,44000000,44000000,5,1,
0,12,10000000,9005552,1,1,
0,24,26000000,21666660,1,1,
1,11,33500000,33500000,1,1,
1,3,6000000,6000000,#N/A,1,
1,12,10000000,10000000,2,1,
1,11,15000000,15000000,1,1,
1,24,20000000,1598370,1,1,
1,24,20000000,833295,1,1,
1,60,115000000,86249950,1,1,
1,12,8000000,3999980,1,1,
1,36,10000000,9166660,1,1,
1,12,10000000,7075921,1,1,
1,60,25000000,7083190,1,1,
1,60,60000000,29000000,1,1,
1,8,14000000,14000000,#N/A,1,
0,60,30000000,19000000,1,1,
1,60,100000000,71316610,1,1,
1,48,60000000,58750000,1,1,
1,12,10000000,9999191,1,1,
0,60,25000000,9999880,1,1,
0,6,4600000,4600000,2,1,
0,84,70000000,30833255,#N/A,1,
1,48,20000000,9166580,1,1,
1,12,10000000,5000000,2,1,
1,12,10000000,4376411,1,1,
1,24,10000000,9166660,1,1,
1,60,15000000,12000000,1,1,
1,11,30000000,30000000,1,1,
1,12,10000000,872262,1,1,
0,48,35000000,21145770,1,1,
1,10,33000000,11000000,5,1,
1,11,33000000,33000000,1,1,
0,48,25000000,21354155,1,1,
0,12,50000000,50000000,1,1,
1,10,10000000,10000000,2,1,
1,12,10000000,10000000,5,1,
1,12,30000000,30000000,1,1,
1,12,10000000,4214384,1,1,
1,36,20000000,7775370,1,1,
1,6,5000000,5000000,#N/A,1,
1,7,5000000,5000000,2,1,
1,12,10000000,10000000,1,1,
,25271758000,20000152489,#N/A,,
