JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,12,20000000,20000000,1,1,
1,11,6500000,6500000,5,1,
1,12,10000000,2548766,1,1,
1,11,20000000,20000000,1,1,
1,12,10000000,4538818,1,1,
1,60,100000000,63333260,1,1,
1,10,38000000,19000000,5,1,
1,36,15000000,12083310,1,1,
0,60,115000000,53666560,1,1,
0,12,10000000,5178862,1,1,
1,12,10000000,10000000,2,1,
1,10,14500000,14500000,#N/A,1,
1,12,13000000,13000000,5,1,
1,12,20000000,20000000,1,1,
1,24,11000000,10541665,2,1,
1,12,60000000,60000000,1,1,
1,60,65000000,56333320,2,1,
1,11,23500000,23500000,5,1,
1,11,35500000,35500000,1,1,
0,60,20000000,19000000,1,1,
0,12,20700000,20700000,2,1,
0,12,28000000,28000000,1,1,
0,12,10000000,0,1,1,
0,10,10000000,10000000,2,1,
0,12,10000000,3069600,1,1,
0,60,16000000,10133260,1,1,
0,12,20000000,20000000,2,1,
0,11,37000000,37000000,1,1,
0,11,15000000,15000000,1,1,
0,36,20000000,19444440,2,1,
0,12,10000000,10000000,1,1,
0,60,50000000,32049965,1,1,
0,18,20000000,7777735,1,1,
0,120,160000000,141333310,2,1,
0,12,10000000,8655136,1,1,
1,9,10000000,5000000,2,1,
1,12,7500000,7500000,#N/A,1,
1,9,12000000,12000000,2,1,
1,12,15000000,15000000,1,1,
1,48,30000000,29375000,2,1,
1,11,13000000,13000000,2,1,
1,12,20000000,20000000,1,1,
1,60,23000000,4983255,1,1,
1,36,35000000,34027775,1,1,
1,12,5500000,5500000,2,1,
1,12,5000000,5000000,5,1,
1,12,60000000,60000000,1,1,
1,12,30000000,30000000,2,1,
1,12,10000000,6223165,1,1,
1,36,18000000,7000000,1,1,
1,12,5600000,5600000,2,1,
1,12,12400000,12400000,1,1,
1,12,10000000,4108983,1,1,
0,36,20000000,9444360,1,1,
0,11,22000000,12000000,5,1,
0,10,10000000,10000000,5,1,
0,12,10000000,8409748,1,1,
1,24,7000000,291590,2,1,
1,36,20000000,14999960,2,1,
1,36,15000000,1249890,1,1,
1,6,100000000,100000000,2,1,
0,60,20000000,12999965,2,1,
0,36,23500000,21541660,2,1,
0,7,20000000,20000000,2,1,
0,11,30000000,30000000,1,1,
1,60,10000000,8333300,1,1,
1,12,14000000,14000000,1,1,
0,11,20000000,20000000,1,1,
0,60,50000000,45833335,2,1,
1,60,12000000,10180000,2,1,
1,12,15900000,15900000,1,1,
1,11,40000000,40000000,1,1,
1,12,10000000,4430000,1,1,
0,84,122000000,111237500,1,1,
0,12,10000000,9000000,1,1,
1,24,10000000,7916650,2,1,
0,48,15000000,13437500,2,1,
0,9,9000000,9000000,2,1,
0,12,17500000,17500000,#N/A,1,
0,12,10000000,8284725,1,1,
0,12,13166000,6583000,5,1,
0,12,6583000,6583000,2,1,
0,12,7336000,7336000,5,1,
0,12,10000000,5000000,1,1,
0,60,75000000,36250000,1,1,
0,6,5000000,5000000,2,1,
0,12,10000000,4156328,1,1,
1,11,20000000,20000000,1,1,
0,60,75000000,73750000,2,1,
0,9,20000000,10000000,2,1,
0,11,30000000,30000000,1,1,
1,48,15000000,14687500,2,1,
1,11,12000000,12000000,2,1,
0,11,25000000,25000000,1,1,
1,60,25000000,14166580,2,1,
0,11,19000000,19000000,1,1,
1,12,15000000,15000000,1,1,
1,60,25000000,11666560,1,1,
1,60,35000000,32083325,2,1,
0,60,30000000,30000000,1,1,
0,11,33000000,33000000,1,1,
0,36,20000000,12222230,2,1,
1,42,100000000,80952360,2,1,
1,11,50000000,50000000,2,1,
1,10,5000000,5000000,2,1,
1,11,15000000,15000000,1,1,
0,10,11000000,11000000,#N/A,1,
0,12,11000000,11000000,#N/A,1,
0,12,30000000,30000000,1,1,
0,12,10000000,5000000,1,1,
0,60,35000000,23333300,2,1,
0,9,20000000,13000000,5,1,
1,12,6800000,6800000,5,1,
0,12,15000000,15000000,1,1,
0,12,10000000,5000000,1,1,
1,11,25000000,25000000,1,1,
1,60,145000000,115999960,2,1,
1,11,18000000,18000000,2,1,
1,60,25000000,21666640,2,1,
1,11,25000000,12500000,#N/A,1,
1,12,12900000,12900000,5,1,
1,12,39000000,39000000,1,1,
1,12,10000000,4105808,1,1,
1,60,100000000,93333320,2,1,
1,12,8500000,8500000,2,1,
1,12,9000000,9000000,5,1,
1,60,130000000,119166650,2,1,
1,12,25000000,25000000,2,1,
1,11,25000000,25000000,5,1,
0,60,50000000,29992040,1,1,
0,12,20000000,20000000,2,1,
0,12,30000000,30000000,1,1,
0,12,10000000,4340995,1,1,
1,60,25000000,22499980,2,1,
1,10,5000000,5000000,2,1,
0,12,18000000,18000000,1,1,
1,24,21000000,21000000,2,1,
1,12,10000000,4378998,1,1,
1,60,40000000,39333330,2,1,
1,11,30000000,30000000,1,1,
