JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,,
L,60,50000000,44166655,pot gaji,1,,
L,11,9000000,9000000,Natal 2023,1,,
L,12,9000000,9000000,THR 2024,1,,
L,11,28000000,28000000,Japrod 2023,1,,
L,12,10000000,9305016,Gaji,1,,
L,60,40000000,33999970,pot gaji,1,,
L,7,12000000,12000000,Natal 2023,1,,
L,11,30000000,30000000,Japrod 2023,1,,
L,9,9500000,4750000,"THR 2023, Natal 2023",1,,
L,60,50000000,47499995,pot gaji,1,,
L,18,5000000,2222200,pot gaji,1,,
P,11,9000000,9000000,"Natal 2023 Dapen, THR 2024 Dapen",1,,
L,60,40000000,37999990,pot gaji,1,,
P,4,6500000,6500000,Cutan Sept 2023,1,,
P,11,19500000,19500000,Japrod 2023,1,,
P,27,40000000,12666550,Gaji,1,,
L,36,20000000,1110960,Gaji,1,,
L,9,20000000,13100000,"THr 2023, Cuti September 2023,  Natal 2023",1,,
L,12,20000000,20000000,Japrod 2023,1,,
L,9,12000000,7000000,"THR 2023, Natal 2023",1,,
L,60,100000000,78333290,Manfaat pensiun,1,,
L,12,10000000,4715000,Manfaat pensiun,1,,
L,12,40000000,40000000,penjualan mobil,1,,
L,36,30000000,29166665,Pot Manfaat Pensiun,1,,
L,8,13000000,13000000,Natal 2023,1,,
L,12,15000000,15000000,Japrod 2024,1,,
L,12,12000000,12000000,Cutan Sept 2023,1,,
L,7,12000000,12000000,Natal 2023,1,,
L,12,20000000,20000000,Japrod 2023,1,,
L,12,10000000,4383750,Gaji,1,,
L,7,7000000,7000000,Natal 2023,1,,
L,11,10000000,10000000,Japrod 2023,1,,
P,11,33500000,33500000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,11,17583000,11722000,"THR 2023, Cutan Sept 2023, Natal 2023",1,,
P,18,30000000,16666640,pot gaji,1,,
P,11,12500000,12500000,Natal 2023,1,,
P,12,12000000,12000000,THR 2024,1,,
P,12,36000000,36000000,Japrod 2023,1,,
P,12,10000000,6778948,Gaji,1,,
L,60,30000000,29000000,pot manfaat pensiun,1,,
L,11,28500000,28500000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,11,25000000,25000000,Japrod 2023,1,,
L,36,45000000,29174999,Gaji,1,,
L,12,10000000,0,Gaji,1,,
L,36,15000000,10833300,Manfaat pensiun,1,,
L,36,20000000,15000005,Manfaat pensiun,1,,
L,60,10000000,9333320,Manfaat pensiun,1,,
L,60,40000000,29999950,Gaji,1,,
